📖 Configuration loaded from config.json
🤖 Initializing Model with layers: [3, 64, 64, 64, 64, 1]
🚀 Start Training Heston Model...
⚙️  Config: Epsilon=0.0 (Should be 0.0 for Baseline)
Epoch 16600 | Total: 0.000042 | PDE: 0.000010 | IC: 0.000029 | Mean W: 1.0000
Epoch 16700 | Total: 0.000050 | PDE: 0.000010 | IC: 0.000036 | Mean W: 1.0000
Epoch 16800 | Total: 0.000044 | PDE: 0.000010 | IC: 0.000031 | Mean W: 1.0000
Epoch 16900 | Total: 0.000040 | PDE: 0.000010 | IC: 0.000028 | Mean W: 1.0000
Epoch 17000 | Total: 0.000044 | PDE: 0.000010 | IC: 0.000031 | Mean W: 1.0000
Epoch 17100 | Total: 0.000044 | PDE: 0.000010 | IC: 0.000030 | Mean W: 1.0000
Epoch 17200 | Total: 0.000041 | PDE: 0.000011 | IC: 0.000027 | Mean W: 1.0000
Epoch 17300 | Total: 0.000041 | PDE: 0.000010 | IC: 0.000030 | Mean W: 1.0000
Epoch 17400 | Total: 0.000049 | PDE: 0.000010 | IC: 0.000030 | Mean W: 1.0000
Epoch 17500 | Total: 0.000054 | PDE: 0.000010 | IC: 0.000031 | Mean W: 1.0000
Epoch 17600 | Total: 0.000040 | PDE: 0.000010 | IC: 0.000029 | Mean W: 1.0000
Epoch 17700 | Total: 0.000039 | PDE: 0.000010 | IC: 0.000028 | Mean W: 1.0000
Epoch 17800 | Total: 0.000038 | PDE: 0.000010 | IC: 0.000027 | Mean W: 1.0000
Epoch 17900 | Total: 0.000046 | PDE: 0.000010 | IC: 0.000032 | Mean W: 1.0000
Epoch 18000 | Total: 0.000039 | PDE: 0.000010 | IC: 0.000027 | Mean W: 1.0000
Epoch 18100 | Total: 0.000040 | PDE: 0.000010 | IC: 0.000028 | Mean W: 1.0000
Epoch 18200 | Total: 0.000042 | PDE: 0.000010 | IC: 0.000031 | Mean W: 1.0000
Epoch 18300 | Total: 0.000039 | PDE: 0.000010 | IC: 0.000028 | Mean W: 1.0000
Epoch 18400 | Total: 0.000039 | PDE: 0.000010 | IC: 0.000029 | Mean W: 1.0000
Epoch 18500 | Total: 0.000042 | PDE: 0.000010 | IC: 0.000030 | Mean W: 1.0000
Epoch 18600 | Total: 0.000042 | PDE: 0.000009 | IC: 0.000030 | Mean W: 1.0000
Epoch 18700 | Total: 0.000039 | PDE: 0.000010 | IC: 0.000028 | Mean W: 1.0000
Epoch 18800 | Total: 0.000038 | PDE: 0.000009 | IC: 0.000027 | Mean W: 1.0000
Epoch 18900 | Total: 0.000037 | PDE: 0.000009 | IC: 0.000025 | Mean W: 1.0000
Epoch 19000 | Total: 0.000043 | PDE: 0.000010 | IC: 0.000032 | Mean W: 1.0000
Epoch 19100 | Total: 0.000043 | PDE: 0.000010 | IC: 0.000028 | Mean W: 1.0000
Epoch 19200 | Total: 0.000043 | PDE: 0.000009 | IC: 0.000026 | Mean W: 1.0000
Epoch 19300 | Total: 0.000037 | PDE: 0.000009 | IC: 0.000026 | Mean W: 1.0000
Epoch 19400 | Total: 0.000040 | PDE: 0.000010 | IC: 0.000028 | Mean W: 1.0000
Epoch 19500 | Total: 0.000044 | PDE: 0.000010 | IC: 0.000032 | Mean W: 1.0000
Epoch 19600 | Total: 0.000040 | PDE: 0.000009 | IC: 0.000029 | Mean W: 1.0000
Epoch 19700 | Total: 0.000039 | PDE: 0.000010 | IC: 0.000027 | Mean W: 1.0000
Epoch 19800 | Total: 0.000040 | PDE: 0.000010 | IC: 0.000028 | Mean W: 1.0000
Epoch 19900 | Total: 0.000042 | PDE: 0.000010 | IC: 0.000029 | Mean W: 1.0000
✅ Training Finished.

✅ Model saved to model.pth

🎨 Generating Heston plots (Multi-Slice Analysis)...
   ... Plotting Slice: v = 0.01 (Low_Vol)
      -> Saved to prediction_Low_Vol.png
   ... Plotting Slice: v = 0.04 (Mean_Vol_Theta)
      -> Saved to prediction_Mean_Vol_Theta.png
   ... Plotting Slice: v = 0.1 (High_Vol)
      -> Saved to prediction_High_Vol.png
✅ All plots generated successfully.
