📖 Configuration loaded from config.json
🤖 Initializing Model with layers: [3, 64, 64, 64, 64, 1]
🚀 Start Training Heston Model...
⚙️  Config: Epsilon=10.0 (Should be 0.0 for Baseline)
Epoch 13400 | Total: 0.000067 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.2380
Epoch 13500 | Total: 0.000063 | PDE: 0.000020 | IC: 0.000040 | Mean W: 0.2366
Epoch 13600 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000039 | Mean W: 0.2336
Epoch 13700 | Total: 0.000060 | PDE: 0.000020 | IC: 0.000036 | Mean W: 0.2523
Epoch 13800 | Total: 0.000061 | PDE: 0.000020 | IC: 0.000037 | Mean W: 0.2426
Epoch 13900 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.2331
Epoch 14000 | Total: 0.000062 | PDE: 0.000020 | IC: 0.000037 | Mean W: 0.2540
Epoch 14100 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.2415
Epoch 14200 | Total: 0.000061 | PDE: 0.000020 | IC: 0.000037 | Mean W: 0.2514
Epoch 14300 | Total: 0.000061 | PDE: 0.000020 | IC: 0.000037 | Mean W: 0.2606
Epoch 14400 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.2476
Epoch 14500 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.2621
Epoch 14600 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000036 | Mean W: 0.2612
Epoch 14700 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000034 | Mean W: 0.2600
Epoch 14800 | Total: 0.000062 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.2613
Epoch 14900 | Total: 0.000056 | PDE: 0.000020 | IC: 0.000032 | Mean W: 0.2586
Epoch 15000 | Total: 0.000059 | PDE: 0.000020 | IC: 0.000035 | Mean W: 0.2682
Epoch 15100 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000037 | Mean W: 0.2784
